POS Txn,Dept,ID,Sales U
16120100160036000000,MENS ACTIVEWEAR,46,2
16120100160036000000,MENS ACTIVEWEAR,46,2
16120100160036000000,MENS ACTIVEWEAR,46,1
16120100160036000000,MENS ACTIVEWEAR,46,1
16120100160036000000,MENS ACTIVEWEAR,46,1
16120100160036000000,MENS ACTIVEWEAR,46,2
16120100160036000000,MENS ACTIVEWEAR,46,1
16120100160037000000,MENS ACTIVEWEAR,46,1
16120100160037000000,MENS ACTIVEWEAR,46,2
16120100160037000000,MENS ACTIVEWEAR,46,1
16120100160037000000,MENS ACTIVEWEAR,46,2
16120100160037000000,MENS ACTIVEWEAR,46,4
16120100160037000000,MENS ACTIVEWEAR,46,1
16120100160038000000,MENS ACTIVEWEAR,46,1
16120100160038000000,MENS ACTIVEWEAR,46,1
16120100160038000000,MENS ACTIVEWEAR,46,3
16120100160038000000,MENS ACTIVEWEAR,46,2
16120100160038000000,MENS ACTIVEWEAR,46,1
16120100160077000000,MENS ACTIVEWEAR,46,2
16120100160077000000,MENS ACTIVEWEAR,46,1
16120100160078000000,MENS ACTIVEWEAR,46,-1
16120100160078000000,MENS ACTIVEWEAR,46,-2
16120100160078000000,MENS ACTIVEWEAR,46,1
16120100160079000000,MENS ACTIVEWEAR,46,1
16120100160162000000,MENS ACTIVEWEAR,46,1
16120100160022000000,MENS SHOES,48,1
16120100160024000000,MENS SHOES,48,1
16120100160024000000,MENS SHOES,48,1
16120100160031000000,MENS SHOES,48,1
16120100160033000000,MENS SHOES,48,1
16120100160034000000,MENS SHOES,48,1
16120100160034000000,MENS SHOES,48,1
16120100160035000000,MENS SHOES,48,1
16120100160035000000,MENS SHOES,48,1
16120100160036000000,MENS SHOES,48,1
16120100160036000000,MENS SHOES,48,1
16120100160036000000,MENS SHOES,48,1
16120100160037000000,MENS SHOES,48,1
16120100160038000000,MENS SHOES,48,1
16120100160038000000,MENS SHOES,48,1
16120100160038000000,MENS SHOES,48,1
16120100160038000000,MENS SHOES,48,1
16120100160038000000,MENS SHOES,48,1
16120100160077000000,MENS SHOES,48,-1
16120100160079000000,MENS SHOES,48,-1
16120100160101000000,MENS SHOES,48,2
16120100160101000000,MENS SHOES,48,1
16120100160162000000,MENS SHOES,48,1
16120100160162000000,MENS SHOES,48,1
16120100160162000000,MENS SHOES,48,1
16120100160022000000,MENS ATHLETIC SHOES,49,1
16120100160023000000,MENS ATHLETIC SHOES,49,1
16120100160031000000,MENS ATHLETIC SHOES,49,1
16120100160032000000,MENS ATHLETIC SHOES,49,1
16120100160035000000,MENS ATHLETIC SHOES,49,1
16120100160035000000,MENS ATHLETIC SHOES,49,1
16120100160035000000,MENS ATHLETIC SHOES,49,1
16120100160036000000,MENS ATHLETIC SHOES,49,1
16120100160036000000,MENS ATHLETIC SHOES,49,1
16120100160036000000,MENS ATHLETIC SHOES,49,1
16120100160037000000,MENS ATHLETIC SHOES,49,1
16120100160037000000,MENS ATHLETIC SHOES,49,1
16120100160037000000,MENS ATHLETIC SHOES,49,1
16120100160079000000,MENS ATHLETIC SHOES,49,1
16120100160079000000,MENS ATHLETIC SHOES,49,-2
16120100160101000000,MENS ATHLETIC SHOES,49,1
16120100160101000000,MENS ATHLETIC SHOES,49,1
16120100160162000000,MENS ATHLETIC SHOES,49,1
16120100160162000000,MENS ATHLETIC SHOES,49,1
16120100160024000000,PEGABLES,50,1
16120100160031000000,PEGABLES,50,1
16120100160033000000,PEGABLES,50,1
16120100160033000000,PEGABLES,50,1
16120100160033000000,PEGABLES,50,1
16120100160034000000,PEGABLES,50,1
16120100160035000000,PEGABLES,50,1
16120100160035000000,PEGABLES,50,1
16120100160036000000,PEGABLES,50,2
16120100160038000000,PEGABLES,50,2
16120100160038000000,PEGABLES,50,1
16120100160077000000,PEGABLES,50,-1
16120100160077000000,PEGABLES,50,-2
16120100160077000000,PEGABLES,50,-1
16120100160079000000,PEGABLES,50,1
